,Unnamed: 0,subject,task,session,run,ppg,rsp,ecg,eda,biopac,eyetracking,ppg_quality,rsp_quality,ecg_quality,eda_quality,eyetracking_quality,eyetracking_before_interp
0,0,1,ActiveHighVid,01EntSports,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9964099281325687,0.6914056055276547
1,1,1,ActiveLowVid,01EntSports,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.8717579821284795,0.5514103190211581
2,2,1,ActiveMixedVid,01EntSports,1,True,True,True,True,True,True,0.9919331544286966,1.0,1.0,1.0,0.9962782349331204,0.6361710692155919
3,3,1,PVT,01EntSports,1,True,True,True,True,True,True,0.9911573927486728,1.0,1.0,1.0,1.0,0.6662099988278045
4,4,1,PassiveHighVid,01EntSports,1,True,True,True,True,True,True,0.991827866989912,1.0,1.0,1.0,0.9943313800021117,0.5961685672051525
5,5,1,PassiveLowVid,01EntSports,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.5810202600145186,0.3533953672540091
6,6,1,PassiveMixedVid,01EntSports,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6913208742477035
7,7,1,ActiveHighVid,02Baby,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9847358973682127,0.6334833566507404
8,8,1,ActiveLowVid,02Baby,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9907737997030193,0.661864378815377
9,9,1,ActiveMixedVid,02Baby,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9846624957102506,0.621248119109844
10,10,1,PVT,02Baby,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9926372008176004,0.6961251895646058
11,11,1,PassiveHighVid,02Baby,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9776884700665188,0.6657361946996093
12,12,1,PassiveLowVid,02Baby,1,True,True,True,True,True,True,0.9911939791615938,1.0,1.0,1.0,0.9419400394633513,0.5603861865072295
13,13,1,PassiveMixedVid,02Baby,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9660487920760719,0.6386786414237731
14,14,1,ActiveHighVid,03Beauty,1,False,False,False,False,False,True,,,,,0.9774563117047674,0.6390370096615807
15,15,1,ActiveLowVid,03Beauty,1,False,False,False,False,False,False,,,,,1.0,0.0
16,16,1,ActiveMixedVid,03Beauty,1,False,False,False,False,False,True,,,,,0.9734256320238621,0.6757029636326441
17,17,1,PVT,03Beauty,1,False,False,False,False,False,True,,,,,0.9639610033957717,0.6459086427867237
18,18,1,PassiveHighVid,03Beauty,1,False,False,False,False,False,True,,,,,0.7593131529105871,0.5201441270218369
19,19,1,PassiveLowVid,03Beauty,1,False,False,False,False,False,True,,,,,0.96276915158274,0.6418856943005523
20,20,1,PassiveMixedVid,03Beauty,1,False,False,False,False,False,True,,,,,0.9741251311560873,0.6501052548222547
21,21,1,ActiveHighVid,04Advice,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9965094949654908,0.6977512965675601
22,22,1,ActiveLowVid,04Advice,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6882506665258823
23,23,1,ActiveMixedVid,04Advice,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9926218743606834,0.684720416553927
24,24,1,PVT,04Advice,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6972021363106882
25,25,1,PassiveHighVid,04Advice,1,False,False,False,False,False,True,,,,,0.995290869703054,0.7116268625171721
