MSG	8342432	DISPLAY_COORDS 0 0 1023 767								
MSG	8344122	TRIALID 1								
MSG	8346879	DRIFTCORRECT R RIGHT at 512,384  OFFSET 0.26 deg.  1.5,-13.0 pix.								
MSG	8347536	RECCFG CR 250 2 1 R								
MSG	8347536	ELCLCFG MLRR								
MSG	8347536	GAZE_COORDS 0.00 0.00 1023.00 767.00								
MSG	8347536	THRESHOLDS R 71 146								
MSG	8347536	ELCL_WINDOW_SIZES 176 188 0 0								
MSG	8347536	CAMERA_LENS_FOCAL_LENGTH 38.00								
MSG	8347536	ELCL_PROC ELLIPSE  (5)								
MSG	8347536	ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30								
MSG	8347537	!MODE RECORD CR 250 2 1 R								
SFIX	R	8347537								
EFIX	R	8347537	8347689	156	543.9	351.0	1667			
SSACC	R	8347693								
ESACC	R	8347693	8347701	12	542.1	342.2	541.1	369.0	0.52	66
SFIX	R	8347705								
EFIX	R	8347705	8347745	44	544.8	363.4	1663			
SSACC	R	8347749								
ESACC	R	8347749	8347757	12	555.5	353.4	554.9	347.5	0.12	55
SFIX	R	8347761								
EFIX	R	8347761	8347813	56	555.9	359.2	1653			
SSACC	R	8347817								
ESACC	R	8347817	8347829	16	556.8	378.5	553.1	352.3	0.52	51
SFIX	R	8347833								
EFIX	R	8347833	8348021	192	558.9	352.0	1640			
SSACC	R	8348025								
ESACC	R	8348025	8348069	48	563.1	351.1	521.5	187.7	3.28	207
SFIX	R	8348073								
EFIX	R	8348073	8348113	44	514.2	196.9	1318			
SSACC	R	8348117								
ESACC	R	8348117	8348129	16	507.4	189.9	504.9	159.2	0.60	87
SFIX	R	8348133								
EFIX	R	8348133	8348201	72	497.5	145.9	1145			
SSACC	R	8348205								
ESACC	R	8348205	8348225	24	493.6	143.4	429.9	137.8	1.05	106
SFIX	R	8348229								
EFIX	R	8348229	8348297	72	434.7	132.2	975			
SSACC	R	8348301								
ESACC	R	8348301	8348337	40	429.1	122.5	282.6	221.2	3.09	188
SFIX	R	8348341								
EFIX	R	8348341	8348505	168	288.3	196.0	911			
SSACC	R	8348509								
ESACC	R	8348509	8348525	20	301.3	181.6	385.1	206.6	1.46	119
SFIX	R	8348529								
EFIX	R	8348529	8348677	152	382.6	220.1	932			
SSACC	R	8348681								
ESACC	R	8348681	8348701	24	391.8	230.4	522.1	222.9	2.14	148
SFIX	R	8348705								
EFIX	R	8348705	8348849	148	527.1	238.8	1085			
SSACC	R	8348853								
ESACC	R	8348853	8348861	12	526.9	234.0	530.7	255.9	0.43	54
SFIX	R	8348865								
EFIX	R	8348865	8348925	64	530.1	250.4	1195			
SSACC	R	8348929								
ESACC	R	8348929	8348997	72	534.4	261.3	645.4	221.5	1.98	134
SFIX	R	8349001								
EFIX	R	8349001	8349213	216	652.5	230.0	1249			
SSACC	R	8349217								
ESACC	R	8349217	8349269	56	656.2	222.6	232.6	330.1	7.24	272
SFIX	R	8349273								
EFIX	R	8349273	8349485	216	217.8	344.2	1183			
SSACC	R	8349489								
ESACC	R	8349489	8349537	52	218.2	348.0	390.7	282.1	3.10	202
SFIX	R	8349541								
EFIX	R	8349541	8349677	140	392.8	304.2	1278			
SSACC	R	8349681								
ESACC	R	8349681	8349713	36	395.8	320.3	470.3	310.1	1.24	138
SFIX	R	8349717								
EFIX	R	8349717	8349761	48	469.8	296.7	1280			
SSACC	R	8349765								
ESACC	R	8349765	8349769	8	469.7	298.9	469.4	291.8	0.14	52
SFIX	R	8349773								
EFIX	R	8349773	8349905	136	468.5	298.5	1305			
SSACC	R	8349909								
ESACC	R	8349909	8349941	36	468.2	271.1	547.7	297.8	1.41	107
SFIX	R	8349945								
EFIX	R	8349945	8350117	176	561.8	314.8	1316			
SSACC	R	8350121								
ESACC	R	8350121	8350133	16	563.1	308.7	562.3	337.2	0.56	66
SFIX	R	8350137								
EFIX	R	8350137	8350197	64	560.3	326.4	1334			
SSACC	R	8350201								
ESACC	R	8350201	8350225	28	558.9	329.3	680.1	288.7	2.14	162
SFIX	R	8350229								
EFIX	R	8350229	8350317	92	674.4	312.2	1324			
SSACC	R	8350321								
ESACC	R	8350321	8350341	24	676.2	318.6	674.3	302.2	0.32	60
SFIX	R	8350345								
EFIX	R	8350345	8350365	24	673.6	320.2	1334			
SSACC	R	8350369								
ESACC	R	8350369	8350405	40	675.4	304.7	726.9	324.2	0.92	76
SFIX	R	8350409								
EFIX	R	8350409	8350473	68	724.1	337.9	1313			
SSACC	R	8350477								
ESACC	R	8350477	8350505	32	721.8	313.5	729.2	345.3	0.63	95
SFIX	R	8350509								
EFIX	R	8350509	8350541	36	725.7	322.4	1327			
SSACC	R	8350545								
ESACC	R	8350545	8350557	16	732.7	331.5	734.7	335.2	0.08	50
SFIX	R	8350561								
EFIX	R	8350561	8350593	36	733.7	336.2	1334			
SSACC	R	8350597								
ESACC	R	8350597	8350657	64	735.3	336.5	827.0	333.3	1.50	118
SFIX	R	8350661								
EFIX	R	8350661	8350693	36	822.8	337.0	1331			
SSACC	R	8350697								
ESACC	R	8350697	8350761	68	818.8	333.8	211.9	347.1	9.89	311
SFIX	R	8350765								
EFIX	R	8350765	8350973	212	214.0	382.8	1271			
SSACC	R	8350977								
ESACC	R	8350977	8350997	24	217.8	392.6	335.7	355.1	2.06	149
SFIX	R	8351001								
EFIX	R	8351001	8351209	212	316.9	369.1	1196			
SSACC	R	8351213								
ESACC	R	8351213	8351229	20	313.1	371.0	399.1	340.7	1.53	123
SFIX	R	8351233								
EFIX	R	8351233	8351417	188	416.5	352.3	1176			
SSACC	R	8351421								
ESACC	R	8351421	8351437	20	420.6	361.4	510.0	328.7	1.60	139
SFIX	R	8351441								
EFIX	R	8351441	8351601	164	502.6	345.9	1283			
SSACC	R	8351605								
ESACC	R	8351605	8351625	24	499.5	347.7	597.3	346.8	1.60	140
SFIX	R	8351629								
EFIX	R	8351629	8351665	40	592.4	343.0	1297			
SSACC	R	8351669								
ESACC	R	8351669	8351701	36	593.1	332.0	593.3	333.7	0.03	84
SFIX	R	8351705								
EFIX	R	8351705	8351729	28	591.9	323.9	1307			
SSACC	R	8351733								
